TIME,VALUE,Device ID
544475,2470,1
544495,2473,1
544515,2463,1
544535,2462,1
544555,2474,1
544575,2465,1
544595,2469,1
544615,2459,1
544635,2470,1
544655,2463,1
544675,2467,1
544695,2466,1
544715,2461,1
544735,2462,1
544755,2465,1
544775,2468,1
544795,2467,1
544815,2466,1
544835,2473,1
544855,2464,1
544875,2465,1
544895,2471,1
544915,2465,1
544935,2469,1
544955,2455,1
544975,2457,1
544995,2458,1
545015,2464,1
545035,2463,1
545055,2454,1
545075,2469,1
545095,2467,1
545115,2471,1
545135,2470,1
545155,2467,1
545175,2471,1
545195,2473,1
545215,2470,1
545235,2480,1
545255,2472,1
545275,2470,1
545295,2467,1
545315,2474,1
545335,2467,1
545355,2480,1
545375,2465,1
545395,2475,1
545415,2470,1
545435,2494,1
545455,2473,1
545475,2477,1
545495,2466,1
545515,2478,1
545535,2471,1
545555,2474,1
545575,2469,1
545595,2497,1
545635,2462,1
545665,2441,1
545685,2465,1
545705,2461,1
545725,2460,1
545735,2463,1
545745,2459,1
545765,2470,1
545775,2473,1
545795,2469,1
545815,2434,1
545835,2474,1
545855,2471,1
545875,2473,1
545895,2473,1
545915,2477,1
545935,2467,1
545955,2469,1
545975,2469,1
545995,2469,1
546015,2466,1
546035,2462,1
546055,2465,1
546075,2465,1
546095,2443,1
546115,2479,1
546135,2473,1
546155,2469,1
546175,2474,1
546195,2467,1
546215,2468,1
546235,2465,1
546255,2467,1
546275,2462,1
546295,2473,1
546315,2480,1
546335,2474,1
546355,2470,1
546375,2469,1
546395,2475,1
546415,2474,1
546435,2460,1
546455,2471,1
546475,2467,1
546495,2479,1
546515,2469,1
546535,2467,1
546555,2458,1
546575,2473,1
546595,2465,1
546615,2467,1
546635,2469,1
546655,2475,1
546675,2474,1
546695,2467,1
546715,2474,1
546735,2469,1
546755,2495,1
546775,2465,1
546795,2478,1
546815,2477,1
546835,2471,1
546855,2469,1
546875,2468,1
546895,2473,1
546915,2469,1
546935,2473,1
546955,2479,1
546975,2474,1
546995,2471,1
547015,2461,1
547035,2466,1
547055,2455,1
547075,2459,1
547095,2460,1
547115,2466,1
547135,2459,1
547155,2476,1
547175,2463,1
547195,2469,1
547215,2464,1
547235,2471,1
547255,2463,1
547275,2467,1
547295,2474,1
547315,2467,1
547335,2475,1
547355,2472,1
547375,2468,1
547395,2467,1
547415,2469,1
547435,2476,1
547455,2459,1
547475,2490,1
547495,2463,1
547515,2475,1
547535,2456,1
547555,2471,1
547575,2418,1
547595,2475,1
547615,2471,1
547635,2473,1
547655,2470,1
547675,2457,1
547695,2463,1
547715,2474,1
547735,2470,1
547755,2463,1
547775,2469,1
547795,2463,1
547815,2466,1
547835,2473,1
547855,2466,1
547875,2467,1
547895,2466,1
547915,2479,1
547935,2467,1
547955,2461,1
547975,2471,1
547995,2465,1
548015,2481,1
548035,2470,1
548055,2529,1
548075,2478,1
